id,name,date,prizePool,maps/0,maps/1,maps/2,maps/3,maps/4,maps/5,maps/6,teams/0,teams/1,teams/2,teams/3,teams/4,teams/5,teams/6,teams/7,teams/8,teams/9,teams/10,teams/11,teams/12,teams/13,teams/14,teams/15
4443,StarLadder Major Berlin 2019,2019-09-08T10:00:00.000Z,1000000,d2,mrg,inf,nuke,trn,ovp,vertigo,Liquid,Vitality,Astralis,ENCE,NRG,Natus Vincere,FaZe,G2,mousesports,North,NiP,MIBR,CR4ZY,Renegades,DreamEaters,AVANGAR
1553,DreamHack Winter 2014,2014-11-29T11:00:00.000Z,250000,,,,,,,,Bravado,CPH Wolves,Cloud9,Dignitas,ESC,FlipSid3,HellRaisers,LDLC,Natus Vincere,NiP,PENTA,Planetkey,Virtus.pro,fnatic,iBUYPOWER,myXMG
1333,EMS One Katowice 2014,2014-03-16T11:00:00.000Z,250000,,,,,,,,3DMAX,Clan-Mystik,Complexity,Dignitas,HellRaisers,LDLC,LGB,Natus Vincere,NiP,Reason,Titan,Virtus.pro,Vox Eminor,fnatic,iBUYPOWER,mousesports
3883,IEM Katowice 2019,2019-03-03T11:00:00.000Z,1000000,cch,d2,mrg,inf,nuke,trn,ovp,Astralis,Liquid,Natus Vincere,NRG,FaZe,NiP,Cloud9,Renegades,ENCE,MIBR,Vitality,BIG,AVANGAR,G2,HellRaisers,Complexity
3247,ELEAGUE Major 2018,2018-01-28T11:00:00.000Z,1000000,cch,mrg,inf,nuke,trn,cbl,ovp,SK,FaZe,Astralis,G2,Cloud9,mousesports,fnatic,North,Virtus.pro,Natus Vincere,Gambit,Liquid,Space Soldiers,Vega Squadron,BIG,Quantum Bellator Fire
2720,PGL Major Krakow 2017,2017-07-23T10:00:00.000Z,1000000,cch,mrg,inf,nuke,trn,cbl,ovp,SK,FaZe,Astralis,G2,Cloud9,Natus Vincere,North,Immortals,fnatic,mousesports,Virtus.pro,Gambit,BIG,PENTA,FlipSid3,Vega Squadron
1444,ESL One Cologne 2014,2014-08-17T10:00:00.000Z,250000,,,,,,,,CPH Wolves,Cloud9,Dignitas,Epsilon,HellRaisers,LDLC,London Conspiracy,Natus Vincere,NiP,Titan,Virtus.pro,Vox Eminor,Wolves,dAT,fnatic,iBUYPOWER
2027,MLG Columbus 2016,2016-04-03T10:00:00.000Z,1000000,,,,,,,,fnatic,Natus Vincere,Astralis,Luminosity,Envy,Virtus.pro,G2,NiP,mousesports,FaZe,Cloud9,CLG,FlipSid3,Liquid,Gambit,Splyce
3564,FACEIT Major 2018,2018-09-23T10:00:00.000Z,1000000,cch,d2,mrg,inf,nuke,trn,ovp,Astralis,Natus Vincere,Liquid,mousesports,FaZe,MIBR,NiP,BIG,fnatic,TYLOO,HellRaisers,Vega Squadron,G2,Cloud9,Complexity,Winstrike
2471,ELEAGUE Major 2017,2017-01-29T11:00:00.000Z,1000000,cch,d2,mrg,nuke,trn,cbl,ovp,Astralis,OpTic,SK,Virtus.pro,North,FaZe,Envy,G2,Natus Vincere,mousesports,Gambit,GODSENT,Liquid,FlipSid3,HellRaisers,fnatic
2062,ESL One Cologne 2016,2016-07-10T10:00:00.000Z,1000000,cch,d2,mrg,nuke,trn,cbl,ovp,SK,G2,fnatic,NiP,Natus Vincere,Envy,Virtus.pro,Astralis,Liquid,mousesports,Dignitas,OpTic,FaZe,Gambit,FlipSid3,CLG
1611,ESL One Katowice 2015,2015-03-15T11:00:00.000Z,250000,,,,,,,,3DMAX,CLG,Cloud9,Envy,FlipSid3,HellRaisers,Keyd,LGB,Natus Vincere,NiP,PENTA,TSM,Titan,Virtus.pro,Vox Eminor,fnatic
1666,ESL One Cologne 2015,2015-08-23T10:00:00.000Z,250000,,,,,,,,CLG,Cloud9,Envy,FlipSid3,Immunity,Kinguin,Luminosity,Natus Vincere,NiP,Renegades,TSM,Titan,Virtus.pro,eBettle,fnatic,mousesports
1617,DreamHack Open Cluj-Napoca 2015,2015-11-01T11:00:00.000Z,250000,,,,,,,,TSM,fnatic,Virtus.pro,Envy,NiP,Natus Vincere,Cloud9,Dignitas,G2,CLG,Liquid,Titan,mousesports,FlipSid3,Luminosity,Vexed
1270,DreamHack Winter 2013,2013-11-30T11:00:00.000Z,250000,,,,,,,,Astana Dragons,CPH Wolves,Clan-Mystik,Complexity,LGB,Natus Vincere,NiP,Reason,Recursive,SK,UniversalSoldiers,VeryGames,Xapso,fnatic,iBUYPOWER,n!faculty
